organisation,launch_location,mission_details,mission_status,date
VKS RF,Russia,Soyuz 2.1v | Cosmos 2575,Success,09/02/2024
SpaceX,USA,Falcon 9 Block 5 | PACE,Success,08/02/2024
CASC,China,Jielong-3 | 9 satellites,Success,03/02/2024
CASC,China,Long March 2C | Geely Constellation Group 02,Success,02/02/2024
Rocket Lab,New Zealand,Electron/Curie | Four Of A Kind,Success,31/01/2024
SpaceX,USA,Falcon 9 Block 5 | CRS NG-20,Success,30/01/2024
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 7-12,Success,29/01/2024
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-38,Success,29/01/2024
ISA,Iran,"Simorgh | Mahda, Keyhan-2 & Hatef-1",Success,28/01/2024
Virgin Galactic,USA,SpaceShipTwo | Galactic-06,Success,26/01/2024
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 7-11,Success,24/01/2024
CAS Space,China,Kinetica 1 | Third Flight,Success,23/01/2024
IRGC,Iran,Qaem 100 | Soraya,Success,20/01/2024
SpaceX,USA,Falcon 9 Block 5 | Axiom Mission 3 (AX-3),Success,18/01/2024
CASC,China,Long March 7 | Tianzhou 7,Success,17/01/2024
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-37,Success,15/01/2024
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 7-10,Success,14/01/2024
MHI,Japan,H-IIA 202 | IGS-Optical 8,Success,12/01/2024
OrienSpace,China,Gravity-1 | Maiden flight,Success,11/01/2024
ExPace,China,Kuaizhou 1A | Tianxing-1-02,Success,11/01/2024
CASC,China,Long March 2C | Einstein Probe,Success,09/01/2024
ULA,USA,Vulcan VC2 | Peregrine Mission One,Success,08/01/2024
SpaceX,USA,Falcon 9 Block 5 | Starlink Group 6-35,Success,07/01/2024
ExPace,China,Kuaizhou 1A | Tianmu-1 15-18,Success,05/01/2024
SpaceX,USA,Falcon 9 Block 5 | Ovzon-3,Success,03/01/2024
